#Parameters = {Centro=2.6764722367736e-15; Cetntro2=-1.5552542131904; Desloc=0.2; R=0.8; c=0.15; h=0.1; w=0.12}
#"Frequency / GHz"	"S1,1 (1) [Magnitude]"
#----------------------------------------
27.013000000000	-11.290460882057
27.312000000000	-11.534127258251
27.611000000000	-11.776288862043
27.910000000000	-12.016982521900
28.209000000000	-12.256241676600
28.508000000000	-12.494096293039
28.807000000000	-12.730572779147
29.106000000000	-12.965693891143
29.405000000000	-13.199478634532
29.704000000000	-13.431942158359
30.003000000000	-13.663095642422
30.302000000000	-13.892946177245
30.601000000000	-14.121496636789
30.900000000000	-14.348745544007
31.199000000000	-14.574686929545
31.498000000000	-14.799310184032
31.797000000000	-15.022599904623
32.096000000000	-15.244535736658
32.395000000000	-15.465092211540
32.694000000000	-15.684238582179
32.993000000000	-15.901938657645
33.292000000000	-16.118150638964
33.591000000000	-16.332826958327
33.890000000000	-16.545914124339
34.189000000000	-16.757352576301
34.488000000000	-16.967076550937
34.787000000000	-17.175013965352
35.086000000000	-17.381086320473
35.385000000000	-17.585208629592
35.684000000000	-17.787289377080
35.983000000000	-17.987230512688
36.282000000000	-18.184927487206
36.581000000000	-18.380269335518
36.880000000000	-18.573138813287
37.179000000000	-18.763412593577
37.478000000000	-18.950961529685
37.777000000000	-19.135650990220
38.076000000000	-19.317341272092
38.375000000000	-19.495888096415
38.674000000000	-19.671143191511
38.973000000000	-19.842954966053
39.272000000000	-20.011169273999
39.571000000000	-20.175630271319
39.870000000000	-20.336181362573
40.169000000000	-20.492666233221
40.468000000000	-20.644929961191
40.767000000000	-20.792820198672
41.066000000000	-20.936188412517
41.365000000000	-21.074891169049
41.664000000000	-21.208791446542
41.963000000000	-21.337759956454
42.262000000000	-21.461676452506
42.561000000000	-21.580431005288
42.860000000000	-21.693925219167
43.159000000000	-21.802073368019
43.458000000000	-21.904803426817
43.757000000000	-22.002057977350
44.056000000000	-22.093794968344
44.355000000000	-22.179988313011
44.654000000000	-22.260628310431
44.953000000000	-22.335721881066
45.252000000000	-22.405292611031
45.551000000000	-22.469380604264
45.850000000000	-22.528042146264
46.149000000000	-22.581349187514
46.448000000000	-22.629388658756
46.747000000000	-22.672261633890
